MaxReturn,ExplainedVariance,LossAfter,AverageReturn,AverageDiscountedReturn,MeanKLBefore,MeanKL,MinReturn,StdReturn,Perplexity,NumTrajs,Iteration,LossBefore,dLoss,Entropy
8,0.276288934023,-0.0505164881971,2.92584269663,2.92584269663,0.0,0.00662995810569,0,1.60795271395,8.61900170862,445,10,-1.07082980386e-17,0.0505164881971,2.1539692669
8,0.3214106625,-0.0500505988483,3.03139013453,3.03139013453,0.0,0.00650536035283,0,1.56443125535,8.26208523215,446,11,5.66213742559e-18,0.0500505988483,2.11167700509
8,0.342244337588,-0.0473116830457,3.23333333333,3.23333333333,0.0,0.0064743852703,0,1.60589192939,7.99091731071,450,12,-4.32571755083e-17,0.0473116830457,2.07830556054
7,0.381988603462,-0.0507583808508,3.38,3.38,0.0,0.00664699584181,0,1.5158569267,7.66519292749,450,13,6.72837257189e-17,0.0507583808508,2.03668968193
7,0.394550936998,-0.0476962612565,3.46501128668,3.46501128668,1.79015447533e-20,0.0065506814608,0,1.53382308684,7.39737505297,443,14,-3.29766469218e-17,0.0476962612565,2.00112521471
8,0.390237522994,-0.0479994648757,3.57142857143,3.57142857143,-6.48834034667e-20,0.00649908474645,0,1.58938603215,7.23800277661,448,15,4.2891828818e-17,0.0479994648757,1.97934530876
7,0.365729406555,-0.0493586509975,3.68526785714,3.68526785714,0.0,0.00649924233668,0,1.64250378333,6.89374140995,448,16,4.04826577411e-18,0.0493586509975,1.93061395796
8,0.403084452691,-0.0597991852978,3.79910714286,3.79910714286,1.50347068307e-20,0.00986145706357,0,1.52063165539,6.66532614815,448,17,-2.29784872707e-17,0.0597991852978,1.89691888689
8,0.476465974671,-0.0480772076269,4.01360544218,4.01360544218,-6.5441263926e-21,0.00643019448615,0,1.53265170249,6.48744290103,441,18,2.3338812771e-17,0.0480772076269,1.86986844707
9,0.489693373483,-0.0426876137943,4.09555555556,4.09555555556,-2.24810031884e-20,0.00643244287957,0,1.5194232174,6.1942033644,450,19,8.5423105567e-18,0.0426876137943,1.82361391349
7,0.476372869041,-0.0435949883967,4.05088495575,4.05088495575,-9.11945416837e-21,0.00644436411479,0,1.54277480019,6.13342576952,452,20,4.3509865099e-17,0.0435949883967,1.81375344695
8,0.496044510982,-0.056306422123,4.14732142857,4.14732142857,0.0,0.00987460499655,0,1.5542832421,6.02814166613,448,21,5.52474732629e-17,0.056306422123,1.79643878184
9,0.522424377176,-0.055265581924,4.15848214286,4.15848214286,0.0,0.00985213479983,0,1.53366083384,5.74708367085,448,22,5.6898930012e-17,0.055265581924,1.74869253847
8,0.530542145292,-0.0567293158025,4.35111111111,4.35111111111,0.0,0.00981223054021,0,1.55529521631,5.58737793617,450,23,3.81717129815e-17,0.0567293158025,1.72051011382
8,0.498716646611,-0.0453037112121,4.30444444444,4.30444444444,0.0,0.00646567088408,0,1.52846408827,5.43702483193,450,24,-2.54455014642e-17,0.0453037112121,1.69323200536
8,0.548837172705,-0.0540207912106,4.45146726862,4.45146726862,-6.25868988697e-21,0.00967645515428,0,1.4471163404,5.23553397351,443,25,-4.46252522264e-17,0.0540207912106,1.65546883979
8,0.528444984271,-0.0552902692182,4.44866071429,4.44866071429,0.0,0.00997917927335,0,1.59856185117,5.10145997236,448,26,2.91405843789e-17,0.0552902692182,1.62952676785
8,0.51343746443,-0.0463861963876,4.40492170022,4.40492170022,0.0,0.00641846390739,0,1.57703681888,4.92886968916,447,27,-3.85332279162e-17,0.0463861963876,1.59510968979
8,0.532016359684,-0.0549446319319,4.63265306122,4.63265306122,0.0,0.00985482788204,0,1.55510263598,4.79482265908,441,28,4.17372909407e-17,0.0549446319319,1.5675367231
9,0.57731540266,-0.0428969659233,4.74157303371,4.74157303371,0.0,0.00644968722764,0,1.5193736874,4.67990338579,445,29,-8.21565038223e-18,0.0428969659233,1.54327746566
9,0.563257734703,-0.0556795901101,4.63963963964,4.63963963964,-3.27421908136e-20,0.00997644992544,0,1.49800343276,4.50399041313,444,30,-3.00137033048e-17,0.0556795901101,1.50496376231
8,0.563263028332,-0.0512692165995,4.67567567568,4.67567567568,-9.09309515687e-20,0.0098664040872,0,1.50022317957,4.44275299385,444,31,8.04322623208e-17,0.0512692165995,1.49127422796
8,0.550786183928,-0.0415442720051,4.69662921348,4.69662921348,-2.64986458267e-20,0.00646781150226,0,1.51845940837,4.2420779077,445,32,-1.74087405609e-17,0.0415442720051,1.44505322177
