Entropy,dLoss,AverageReturn,Iteration,LossBefore,NumTrajs,MaxReturn,MinReturn,Perplexity,AverageDiscountedReturn,LossAfter,MeanKLBefore,StdReturn,ExplainedVariance,MeanKL
2.85096364576,0.0608603400413,2.6619047619,10,6.61810430056e-17,210,9,0,17.3044491676,2.6619047619,-0.0608603400413,-1.76034036229e-19,2.06212469959,-0.0467450131563,0.00667800590746
2.83977511583,0.0571182721614,2.52427184466,11,-1.04618231311e-17,206,9,0,17.1119169053,2.52427184466,-0.0571182721614,-3.97214656257e-19,1.97235584431,-0.412912526911,0.00642633461768
2.83293778502,0.0712460241465,2.54716981132,12,-5.45483711058e-17,212,8,0,16.9953161418,2.54716981132,-0.0712460241465,4.12385544733e-19,1.97451725876,-0.0695576611403,0.00986314034973
2.82122150498,0.0582666216169,2.77272727273,13,3.20602118139e-17,198,8,0,16.7973562001,2.77272727273,-0.0582666216169,1.55630284179e-18,1.96017512008,-0.0312943427419,0.00646756738438
2.8120019689,0.0677307548054,2.9801980198,14,-4.36643435888e-17,202,9,0,16.643204066,2.9801980198,-0.0677307548054,-1.62154875039e-18,2.05122613908,0.00751296690019,0.00993371850863
2.8029567746,0.0574996850875,2.96208530806,15,1.00121529539e-16,211,10,0,16.4933418397,2.96208530806,-0.0574996850875,-2.58054047026e-18,2.11034091546,-0.0761682502693,0.00649245928364
2.79205308457,0.0714380702347,3.13333333333,16,-9.60140401856e-17,195,9,0,16.3144804493,3.13333333333,-0.0714380702347,2.33777779986e-18,2.00324523037,-0.0661366449723,0.00996876190672
2.77566955729,0.0597917676078,3.21463414634,17,-1.40720768371e-16,205,9,0,16.0493693713,3.21463414634,-0.0597917676078,9.32208607046e-19,2.06073169288,-0.124618578135,0.0065781247086
2.75380137975,0.0602808173999,3.51741293532,18,4.28927787219e-17,201,10,0,15.7022086334,3.51741293532,-0.0602808173999,5.23051767329e-19,2.15585406276,-0.0403989808658,0.00652140451377
2.73836383706,0.0813474845274,3.36138613861,19,4.78382026828e-17,202,9,0,15.4616665835,3.36138613861,-0.0813474845274,-1.83723065663e-18,2.00817489165,-0.194651910058,0.00977797674741
2.73099557413,0.0659478075585,3.36274509804,20,-1.45883305436e-16,204,10,0,15.3481596468,3.36274509804,-0.0659478075585,2.5135356701e-18,2.17962587042,-0.0934335068928,0.00644547853747
2.718806925,0.0584720799845,3.57788944724,21,-1.54927708395e-17,199,9,0,15.1622217818,3.57788944724,-0.0584720799845,4.00397065915e-18,1.95494825539,0.0688920568891,0.00656888275935
2.69044323421,0.0603636853639,3.8,22,-1.59632666546e-17,195,9,0,14.7382069505,3.8,-0.0603636853639,-3.639604274e-19,2.06955959641,0.0439697475852,0.00651489903506
2.67820552785,0.0613771295087,3.65671641791,23,-2.80883097888e-17,201,9,0,14.558944221,3.65671641791,-0.0613771295087,7.47535643436e-19,2.01155051807,-0.152511512081,0.00652841846686
2.66184240753,0.0592971092803,3.77777777778,24,-4.08675728852e-17,189,9,0,14.3226529685,3.77777777778,-0.0592971092803,4.02531266125e-18,1.99293284009,-0.109444485856,0.0064418933897
2.64359797334,0.0576731425648,4.09523809524,25,-3.13559614553e-17,189,9,0,14.063713553,4.09523809524,-0.0576731425648,1.25326408174e-18,1.98976975388,0.165791735663,0.0064988203697
2.61442443402,0.0603380070397,4.03553299492,26,1.1893271066e-17,197,10,0,13.6593522565,4.03553299492,-0.0603380070397,-1.50226119342e-18,2.02616297248,0.119778547356,0.00648576564692
2.60483123847,0.0611978618414,4.09289617486,27,3.55443066128e-17,183,9,0,13.5289419452,4.09289617486,-0.0611978618414,-1.5354531786e-18,2.1005083499,0.119928511011,0.00660319438362
2.58721748393,0.0585070334593,4.03743315508,28,-1.12076487244e-17,187,11,0,13.2927328539,4.03743315508,-0.0585070334593,-2.3623953709e-18,2.06671866291,0.0222065696519,0.00641365857006
2.58503365988,0.0585504295262,4.14507772021,29,8.7087192039e-18,193,12,0,13.2637355383,4.14507772021,-0.0585504295262,2.96545643914e-18,1.99732700112,0.0644796291812,0.00649299638173
2.56623120318,0.0601137689154,4.36559139785,30,-4.921378425e-17,186,10,0,13.0166746792,4.36559139785,-0.0601137689154,2.4727462442e-18,2.01224715896,0.101682992789,0.00643107936033
2.55237061753,0.0625693404923,4.17837837838,31,-5.54284222428e-17,185,11,0,12.8375005427,4.17837837838,-0.0625693404923,-7.20533110528e-19,2.05217552791,0.0332633209027,0.00655549612644
