Iteration,MeanKLBefore,LossAfter,Perplexity,AverageReturn,AverageDiscountedReturn,dLoss,MinReturn,MaxReturn,NumTrajs,MeanKL,LossBefore,ExplainedVariance,StdReturn,Entropy
83,0.0,-0.0482966162506,4.83314042236,7.06930693069,7.06930693069,0.0482966162506,0,12,202,0.00642370958853,6.10014927626e-17,0.48347150893,2.45456707377,1.57549644735
84,0.0,-0.0694547707161,4.90318952454,6.96585365854,6.96585365854,0.0694547707161,0,13,205,0.00989164238255,5.2216474425e-17,0.517433037748,2.15583267328,1.58988591673
85,0.0,-0.062628025286,4.87937817041,6.96585365854,6.96585365854,0.062628025286,0,12,205,0.00995703877995,-1.66450642429e-17,0.542842874252,2.20283738936,1.58501778765
86,0.0,-0.0563679496607,4.79933476987,6.94472361809,6.94472361809,0.0563679496607,0,12,199,0.00988493259889,-1.3908896174e-17,0.516777340385,2.24435860027,1.5684773187
87,0.0,-0.0590507542033,4.78963631229,6.86206896552,6.86206896552,0.0590507542033,0,14,203,0.0099411566031,-8.70534695471e-17,0.453336466999,2.15888350436,1.56645448209
88,0.0,-0.0518500137744,4.78963436934,7.20707070707,7.20707070707,0.0518500137744,3,12,198,0.00642035903237,-5.76755450308e-17,0.541373496674,1.99811792886,1.56645407643
89,0.0,-0.052496697477,4.66146180225,7.285,7.285,0.052496697477,0,12,200,0.00641015416823,-8.07763293088e-17,0.543851842743,2.09374664179,1.53932909042
90,0.0,-0.0636201971939,4.65569505055,7.26237623762,7.26237623762,0.0636201971939,0,12,202,0.00993460963774,-1.02690785873e-17,0.486685547955,2.17898838755,1.53809121227
91,0.0,-0.0614389795248,4.71321966709,7.22110552764,7.22110552764,0.0614389795248,2,12,199,0.00992318061575,2.7072552502e-17,0.629452575133,1.91564749118,1.55037125562
92,0.0,-0.0615941129209,4.62595798245,7.34975369458,7.34975369458,0.0615941129209,2,13,203,0.00995077942069,-1.85591174276e-17,0.580549128237,2.11977260571,1.53168348086
