Iteration,dLoss,LossBefore,MinReturn,StdReturn,MeanKL,MeanKLBefore,MaxReturn,AverageDiscountedReturn,Entropy,AverageReturn,ExplainedVariance,NumTrajs,LossAfter,Perplexity
66,0.057640675925,6.98383940503e-17,0,1.58495340458,0.00983334702408,0.0,9,3.33333333333,2.15492965288,3.33333333333,0.261358483177,345,-0.057640675925,8.62728325312
67,0.0497612975908,2.81976139891e-16,0,1.58036912613,0.00645244603983,0.0,8,3.4696969697,2.14876018022,3.4696969697,0.346375524751,330,-0.0497612975908,8.57422131534
68,0.0588047023921,-7.15557182996e-18,0,1.72449707728,0.00995219307941,0.0,11,3.58841463415,2.13239331494,3.58841463415,0.347635416824,328,-0.0588047023921,8.43503035714
69,0.0481540413274,3.31780454095e-17,0,1.61022785767,0.00641539066003,0.0,9,3.58282208589,2.11055857712,3.58282208589,0.321833251256,326,-0.0481540413274,8.25284985045
70,0.0591591418428,9.9424609934e-17,0,1.63972576723,0.00982952857276,0.0,10,3.56615384615,2.10668585859,3.56615384615,0.323811227665,325,-0.0591591418428,8.22095069406
71,0.0624166317507,-4.74740898947e-17,0,1.66645348627,0.0099499304832,0.0,10,3.59756097561,2.11191254545,3.59756097561,0.352184809043,328,-0.0624166317507,8.26403151592
72,0.0576819780936,-1.02220908946e-18,0,1.62063464961,0.00978706948956,0.0,9,3.69161676647,2.09958908472,3.69161676647,0.368881415089,334,-0.0576819780936,8.1628149979
73,0.0462375497137,1.92925816047e-17,0,1.64751588896,0.00641775664934,0.0,9,3.75949367089,2.08079903117,3.75949367089,0.340315046058,316,-0.0462375497137,8.01086729036
74,0.061642890479,1.05077148034e-18,0,1.56426158956,0.00974921114579,0.0,9,3.91961414791,2.08839118623,3.91961414791,0.352411631913,311,-0.061642890479,8.07191849885
75,0.0596922228802,-7.01193489237e-17,0,1.6657807272,0.00994676470126,0.0,9,3.7298136646,2.09658254107,3.7298136646,0.335233943373,322,-0.0596922228802,8.13830999441
76,0.0589167899709,-2.49426041478e-18,0,1.5295444331,0.00991005744718,0.0,8,3.55555555556,2.09877284746,3.55555555556,0.372898592296,324,-0.0589167899709,8.15615492261
77,0.061558866361,4.72364552799e-17,0,1.5146128879,0.00998978241642,0.0,8,3.74121405751,2.09722366559,3.74121405751,0.441369338618,313,-0.061558866361,8.1435293375
78,0.0602618181595,8.13831149289e-17,0,1.59364257387,0.00994071334992,0.0,10,3.67845659164,2.07525204343,3.67845659164,0.359023127351,311,-0.0602618181595,7.96655412362
79,0.0498572581552,-3.04382448872e-17,0,1.60175744302,0.00647257373596,0.0,9,3.90032154341,2.05587271538,3.90032154341,0.351560798794,311,-0.0498572581552,7.81365399393
80,0.0616270364399,3.19739797958e-17,0,1.44882785492,0.0097670190372,0.0,8,3.65064102564,2.05033480937,3.65064102564,0.41839766628,312,-0.0616270364399,7.77050230782
