MeanKLBefore,dLoss,ExplainedVariance,Iteration,AverageReturn,NumTrajs,MaxReturn,MeanKL,LossAfter,StdReturn,Perplexity,MinReturn,AverageDiscountedReturn,LossBefore,Entropy
-8.32595340439e-21,0.0399285588054,0.238082279751,20,2.92458100559,358,8,0.0064585334408,-0.0399285588054,1.8693078867,7.56420740737,0,2.92458100559,7.14249953858e-17,2.02342757075
0.0,0.036505595951,0.163288165507,21,2.86235955056,356,8,0.00644552317592,-0.036505595951,1.84836369936,7.50103094385,0,2.86235955056,7.67486343452e-17,2.01504047028
-9.23469218533e-22,0.0396207988565,0.241367238463,22,3.01173020528,341,8,0.00670071733016,-0.0396207988565,1.76471864719,7.29562293225,0,3.01173020528,1.00399883816e-17,1.98727457
-1.31717081475e-20,0.0404657540654,0.21651589617,23,2.9683908046,348,9,0.0065289773616,-0.0404657540654,1.84970663941,7.11499988047,0,2.9683908046,1.16865581539e-16,1.96220521474
-2.92182403934e-20,0.0409342442656,0.261279893569,24,3.13473053892,334,7,0.00644457132711,-0.0409342442656,1.72420000173,6.89968227152,0,3.13473053892,-9.98950984417e-18,1.93147536294
0.0,0.038495517382,0.227522569886,25,3.04057971014,345,9,0.00645804434012,-0.038495517382,1.84110228802,6.80585176734,0,3.04057971014,-8.01858579536e-17,1.91778279614
0.0,0.0491705966163,0.22621458607,26,3.15339233038,339,8,0.00993289273181,-0.0491705966163,1.71753373196,6.53519861798,0,3.15339233038,-2.93955834493e-17,1.87720273957
1.14102184734e-20,0.0395052079728,0.282066770364,27,3.24629080119,337,8,0.00646915609756,-0.0395052079728,1.74872387851,6.35693071335,0,3.24629080119,-1.7415045495e-16,1.84954566863
0.0,0.0384023456824,0.270446013604,28,3.30088495575,339,8,0.00659950834772,-0.0384023456824,1.7559924662,6.31106639588,0,3.30088495575,-4.22783580592e-17,1.84230466321
0.0,0.0487600669474,0.304325060648,29,3.33236151603,343,9,0.00979821567344,-0.0487600669474,1.72624298157,6.07000092579,0,3.33236151603,-3.73403346113e-17,1.80335875759
0.0,0.0476149195694,0.273530778374,30,3.26666666667,345,8,0.00941398032269,-0.0476149195694,1.79812032828,5.89151526312,0,3.26666666667,-3.19584438873e-17,1.77351322487
0.0,0.0395571531998,0.317915816785,31,3.44179104478,335,8,0.00650238631824,-0.0395571531998,1.79103482584,5.85998373143,0,3.44179104478,2.43761542333e-18,1.76814682738
0.0,0.0409476849015,0.302659165278,32,3.33625730994,342,8,0.00658401399333,-0.0409476849015,1.67570392763,5.80298907736,0,3.33625730994,1.26224756673e-17,1.75837314297
