Iteration,MeanKL,Entropy,Perplexity,dLoss,StdReturn,MeanKLBefore,ExplainedVariance,LossAfter,NumTrajs,AverageReturn,LossBefore,MaxReturn,MinReturn,AverageDiscountedReturn
17,0.00663286470746,1.88852820584,6.60963349871,0.0441616449983,1.43059167183,1.00497377177e-20,0.449175348476,-0.0441616449983,446,3.73542600897,5.02745115593e-17,8,0,3.73542600897
18,0.00999410736059,1.83667756889,6.27565316029,0.0535599735705,1.45828879363,0.0,0.476297323003,-0.0535599735705,446,3.7802690583,4.12725409404e-17,8,0,3.7802690583
19,0.0066031149113,1.79509837568,6.02006692085,0.042824484836,1.516188782,2.3817552711e-20,0.468947883259,-0.042824484836,451,3.88248337029,-3.5154056344e-17,8,0,3.88248337029
20,0.00657490378811,1.75919766838,5.80777576245,0.0427268552881,1.47492551622,0.0,0.483061724232,-0.0427268552881,452,4.03982300885,3.78945037369e-17,8,0,4.03982300885
21,0.0064485075366,1.73411561013,5.6639164778,0.0426030946147,1.50866438938,-5.36005201129e-22,0.487810345788,-0.0426030946147,448,4.09821428571,5.4886806866e-17,8,0,4.09821428571
22,0.00653171437193,1.70465316348,5.49947791659,0.0433015253903,1.52174929852,0.0,0.491948665963,-0.0433015253903,457,4.06126914661,-1.97942173253e-17,8,0,4.06126914661
23,0.00999506137268,1.68556063124,5.3954749564,0.0526414745497,1.49814700362,5.22932027155e-21,0.49889668174,-0.0526414745497,450,4.2,-2.03471585537e-17,9,0,4.2
24,0.00997697885055,1.62316008025,5.0690837444,0.0520774205268,1.40799742622,-4.23926030053e-21,0.506376480948,-0.0520774205268,448,4.140625,1.50726559869e-17,8,0,4.140625
25,0.00989676799158,1.5960713599,4.93361191569,0.0514631755527,1.49613658847,0.0,0.519696799809,-0.0514631755527,450,4.30444444444,1.25883446492e-16,8,0,4.30444444444
26,0.00999051393247,1.56900075966,4.80184759586,0.0531673958382,1.47162434837,0.0,0.540583277241,-0.0531673958382,447,4.4384787472,-4.40203429264e-17,9,0,4.4384787472
27,0.00644355448757,1.54896955352,4.70661776521,0.0432841109561,1.48024069409,0.0,0.504720790002,-0.0432841109561,447,4.29753914989,-3.73958180209e-17,8,0,4.29753914989
28,0.0065589653436,1.51131904089,4.53270567701,0.0422817605178,1.54448959302,0.0,0.520833773964,-0.0422817605178,447,4.55704697987,-1.34892097492e-17,8,0,4.55704697987
29,0.00646261780857,1.4985867241,4.47535968081,0.0416402352657,1.41996157426,7.043247275e-22,0.562906241209,-0.0416402352657,445,4.50112359551,2.48573529633e-16,8,0,4.50112359551
30,0.00991419138115,1.47238606119,4.35962507281,0.0481287222086,1.45832663325,7.58211571344e-21,0.571044340189,-0.0481287222086,443,4.46275395034,2.66253835533e-18,8,0,4.46275395034
31,0.00996529729734,1.44230313685,4.23042785986,0.0510048037535,1.45351154495,0.0,0.547914488818,-0.0510048037535,446,4.58520179372,-4.50889325876e-17,9,0,4.58520179372
32,0.00644624212843,1.39742987947,4.04479099602,0.0421568423367,1.45546113935,3.52075359507e-20,0.549022668561,-0.0421568423367,453,4.6114790287,-1.21478312462e-17,8,0,4.6114790287
