Perplexity,Entropy,MinReturn,dLoss,ExplainedVariance,AverageReturn,MaxReturn,AverageDiscountedReturn,Iteration,NumTrajs,MeanKLBefore,MeanKL,LossBefore,LossAfter,StdReturn
10.4611120106,2.34766476376,0,0.0161319335612,0.101592951412,1.80901287554,7,1.80901287554,11,466,0.0,0.000641762592353,-1.29147261477e-17,-0.0161319335612,1.62992544783
10.3659160127,2.33852311754,0,0.0167657578794,0.145733238641,1.87964989059,6,1.87964989059,12,457,0.0,0.000645262549806,-5.5067505667e-17,-0.0167657578794,1.64880484796
10.2893606715,2.33111041687,0,0.0161821285953,0.101740651175,1.9652173913,6,1.9652173913,13,460,0.0,0.000644930738301,-4.38880277266e-17,-0.0161821285953,1.63882478986
10.2207169229,2.32441673133,0,0.0168540617618,0.0768054309169,1.97619047619,8,1.97619047619,14,462,0.0,0.000644446073658,-7.0186513051e-17,-0.0168540617618,1.68179589593
10.1223444487,2.31474530192,0,0.0169984286422,0.106575603246,2.01307189542,8,2.01307189542,15,459,0.0,0.000646605261578,2.09240734796e-17,-0.0169984286422,1.69834057714
10.00773324,2.30335811813,0,0.0163265557479,0.151714194677,2.17903930131,7,2.17903930131,16,458,0.0,0.00064886716498,3.41244580103e-17,-0.0163265557479,1.61280274724
9.84185416718,2.28664412494,0,0.0161266287835,0.180986214484,2.26973684211,7,2.26973684211,17,456,3.33114691469e-21,0.000655917499457,-8.59778010577e-17,-0.0161266287835,1.61396208597
9.73708132357,2.27594141398,0,0.0165070217873,0.166033512388,2.33766233766,7,2.33766233766,18,462,0.0,0.00064233539386,4.43534791361e-18,-0.0165070217873,1.62723351355
9.65504844726,2.26748093371,0,0.0159494062969,0.171250536567,2.47345132743,7,2.47345132743,19,452,-2.37939337085e-20,0.00065497779722,1.14879363208e-17,-0.0159494062969,1.64873336736
9.53332385457,2.25479343488,0,0.019756594128,0.207281314565,2.47661469933,6,2.47661469933,20,449,1.96673879763e-20,0.000993805078201,-7.52820561312e-17,-0.019756594128,1.61838301876
9.39316370357,2.23998215911,0,0.0166592182648,0.203430069611,2.51633986928,7,2.51633986928,21,459,0.0,0.000648715061791,-4.85237578193e-17,-0.0166592182648,1.60922412663
9.26192825416,2.22591226177,0,0.0206704808817,0.21191689239,2.59649122807,7,2.59649122807,22,456,7.77646970598e-20,0.000997849072642,6.65662794276e-17,-0.0206704808817,1.67001049606
9.14513837529,2.21322241298,0,0.0153793716457,0.217608488048,2.56762749446,6,2.56762749446,23,451,0.0,0.000654652587844,-1.58482168361e-17,-0.0153793716457,1.59175213492
9.02626918635,2.2001391244,0,0.0157625321902,0.27230804861,2.80405405405,7,2.80405405405,24,444,0.0,0.000647501690684,-1.83095251437e-17,-0.0157625321902,1.54216466466
8.89916580235,2.18595754227,0,0.0191059032929,0.261064821862,2.88,7,2.88,25,450,0.0,0.000997574015304,1.30320884509e-18,-0.0191059032929,1.59270559461
8.74357950494,2.16831966016,0,0.0204368489431,0.279658128614,2.90112359551,7,2.90112359551,26,445,0.0,0.00097571604244,3.33676615489e-17,-0.0204368489431,1.52702209884
8.67514397825,2.16046192261,0,0.0147015136775,0.28457859768,3.01128668172,7,3.01128668172,27,443,0.0,0.000642404181316,-2.69371953251e-17,-0.0147015136775,1.49260295507
8.50889730479,2.14111235778,0,0.0157185244035,0.280006305987,3.01548672566,7,3.01548672566,28,452,-1.0203118001e-20,0.000645790582142,-1.50969838332e-16,-0.0157185244035,1.6741736787
8.44627650789,2.1337256943,0,0.0150900797696,0.339571436859,3.09172259508,7,3.09172259508,29,447,-2.94009313011e-20,0.000642861371676,2.85113482217e-17,-0.0150900797696,1.51741521484
8.29162835583,2.11524637396,0,0.0150992747983,0.318707409499,3.19555555556,7,3.19555555556,30,450,-1.4959696032e-21,0.000651203291479,2.47517855028e-17,-0.0150992747983,1.5963786178
8.22833772319,2.10758401655,0,0.014348465124,0.360751444694,3.24276169265,7,3.24276169265,31,449,-1.23556660113e-20,0.000642039152733,3.71831755311e-18,-0.014348465124,1.54555110899
8.13348466593,2.09598944993,0,0.0149584845574,0.343146462641,3.24053452116,7,3.24053452116,32,449,4.35683422195e-20,0.000651447460664,-3.64131668361e-17,-0.0149584845574,1.54229334324
